title,slug,start_date,end_date,location,category,description,pretix_link
Mord vor Ort,mord-vor-ort-2,2026-03-25 19:00:00,2026-03-25 21:00:00,Die Brücke,Impro-Theater,"Sie haben die Nerven, wir bringen die Leiche
 
Ausgehend von der Leiche, dem Tatort und der Todesart, die vom Publikum definiert wird macht sich ein fiktives Ermittlungsteam auf die Suche nach dem Mörder/der Mörderin. Ein Format, das bereits in vielen Städten große Erfolge feierte, kommt nun endlich auch nach Graz!
 
Wenn Sie „Tatort“ lieben und von den „Landkrimis“ nicht genug bekommen, sind Sie bei uns richtig. Nehmen Sie die Zügel in die Hand und lenken sie immer wieder durch Einwürfe und Vermutungen das Geschehen auf der Bühne, oder lehnen Sie sich zurück und genießen Sie das Schauspiel…. bis wir alle am Ende den Täter oder die Täterin festnageln.
 
Es spielen:
Ulrike Brantner, Elke Körbitz, Lisa Feischl, Carola Gartlgruber, Michael Brantner, Lukas Werzer, Siegi Allmer
An der Tontechnik und spielend: Kathi Brantner",
Homajon Sefat,homajon-sefat,2026-03-27 20:00:00,2026-03-27 22:00:00,Die Brücke,Kabarett,,
Baba Yaga,baba-yaga,2026-04-10 20:00:00,2026-04-10 22:00:00,Die Brücke,Konzert,,
Manfred Sucher,manfred-sucher,2026-04-16 20:00:00,2026-04-16 22:00:00,Die Brücke,Konzert,,
Nette Eltere Herren,nette-eltere-herren,2026-04-17 20:00:00,2026-04-17 22:00:00,Die Brücke,Konzert,,
Mord vor Ort,mord-vor-ort-3,2026-04-22 19:00:00,2026-04-22 21:00:00,Die Brücke,Impro-Theater,"Sie haben die Nerven, wir bringen die Leiche
 
Ausgehend von der Leiche, dem Tatort und der Todesart, die vom Publikum definiert wird macht sich ein fiktives Ermittlungsteam auf die Suche nach dem Mörder/der Mörderin. Ein Format, das bereits in vielen Städten große Erfolge feierte, kommt nun endlich auch nach Graz!
 
Wenn Sie „Tatort“ lieben und von den „Landkrimis“ nicht genug bekommen, sind Sie bei uns richtig. Nehmen Sie die Zügel in die Hand und lenken sie immer wieder durch Einwürfe und Vermutungen das Geschehen auf der Bühne, oder lehnen Sie sich zurück und genießen Sie das Schauspiel…. bis wir alle am Ende den Täter oder die Täterin festnageln.
 
Es spielen:
Ulrike Brantner, Elke Körbitz, Lisa Feischl, Carola Gartlgruber, Michael Brantner, Lukas Werzer, Siegi Allmer
An der Tontechnik und spielend: Kathi Brantner",
Mally & Biber Hermann,mally-&-biber-hermann,2026-04-23 20:00:00,2026-04-23 22:00:00,Die Brücke,Konzert,,
Son of the velvet rat,son-of-the-velvet-rat,2026-04-24 20:00:00,2026-04-24 22:00:00,Die Brücke,Konzert,"The Red Barn Sessions
 
 Son of the Velvet Rat gehen auf Tour mit Songs aus den aktuellen ""Red Barn Sessions“ und ihrem letzten ""Album Ghost Ranch"" (Fluff & Gravy Records / 2024).
 
 Beide Veröffentlichungen wurden im Red Barn Recorders-Studio in der kalifornischen Wüste eingespielt. Mitgewirkt haben, unter anderen, so illustre Gäste wie Marc Ribot an der Gitarre, Jolie Holland als Back-up-Sängerin und an der Violine oder Jay Bellerose und Danny Frankel am Schlagzeug. Nichtsdestotrotz ist die Instrumentierung so sparsam und transparent wie nie zuvor bei SotVR.
 
 Sowohl Ghost Ranch als auch die Red Barn Sessions erhielten hervorragende Kritiken diesseits und jenseits des Atlantiks:
 
 Press Short Cuts
 
 Live werden die Songs noch einmal auf ihren Kern reduziert. SotVR werden im Duo auftreten. Heike bedient, neben diversen Tasteninstrumenten auch das Schlagwerk.
 
 Das neue Programm umfasst neben aktuellen Songs viele Highlights aus dem Back-Katalog und zeichnet sich durch besondere Vielfalt und Dynamik aus. Die Bandbreite reicht von fragilem Neo-Folk-Chanson bis zu rauem Garage-Rock.
 
 Der Songwriter und Musikjournalist (NY Times, LA Weekly) Paul Cullum über SotVR:
 
 'Situated at the vanguard of Euro-Folk Noir, Their songs reflect a sonic landscape stretching from the Old World romanticism of Jacques Brel or Fabricio de Andre to the visionary realm of American balladeers like Bill Callahan or Michael Hurley.
 
 The result is like some exotic desert fruit of indeterminate provenance - equal parts ragged glory and brooding noir, the crepuscular glow of the violet horizon and blood pooled on a motel bathroom floor - all delivered in, what accidental fan Lucinda Williams who caught their set one night at the Hotel Cafe in Hollywood calls, Georg’s “great sexy-gravelly voice,” leavened by Heike’s translucent harmonies, like roses circling a tattooed heart.'
 
 Foto: Marija Kanizaj",
Solarkreis,solarkreis,2026-04-25 20:00:00,2026-04-25 22:00:00,Die Brücke,Konzert,"Dialektpop – modern, ausdrucksstark und lebensbejahend – das ist Solarkreis. Nach fast 10 erfolgreichen Jahren hat sich die Band längst als fixer Bestandteil in der österreichischen und bayrischen Musikszene etabliert. Der Mix aus fetten Beats, coolen Bläserlines und modernen Sounds gepaart mit einer unverwechselbaren Stimme macht den unverkennbaren Sound von Solarkreis aus. Dass der Spaß an der Sache selbst im Vordergrund steht, erkennt man bei den Live-Auftritten der Band. Energiegeladen, humorvoll mit einer Prise Selbstironie und jederzeit authentisch, so geben sich die 9 Jungs auf der Bühne. Dem Publikum gefällts und schweißtreibende Konzerte mit der einen oder anderen Überraschung
 sind garantiert.
 
 Solarkreis – Bandmembers
 
 Hartmut Pollhammer: Bandleader, Keyboard, Backing Vocals
 Michael Fritz: Vocals
 Bertram Pollhammer: Gitarre
 Martin Preiß: E-Bass, Backing Vocals
 Andreas Fritz: Gitarre, Backing Vocals
 Stefan Ertl: Drums
 Stefan Kaufmann: Saxophon
 Daniel Kukovetz: Saxophon
 Johannes Marchel: Trompete",
Chordovoice,chordovoice,2026-04-30 20:00:00,2026-04-30 22:00:00,Die Brücke,Konzert,"Im klingenden Namen Chordovoice resoniert bereits die Zusammensetzung des Trios: stimmhafte Saiteninstrumente und schwingende Stimmbänder. Christoph Wünscher, Nikola Schlemmer und Elisabeth Ernst liefern hierbei nicht nur auf ihren Hauptinstrumenten Gitarre, Klavier und Geige ab, sondern probieren sich auch an diversen Percussion-Instrumenten und anderen musikalischen Gimmicks aus. Das Repertoire ist diesmal hauptsächlich in den 80ern angesiedelt, einzelne Ausreißer reichen bis ins Heute. Mit den mitreißenden Arrangements erfreuen sie üblicherweise frisch Vermählte auf Hochzeiten, Kinder bei Taufen, sowie offene Ohren auf anderen Festivitäten und beim Musizieren auf der Straße.",
Philipp Grießler & Andreas Johann Bauer,philipp-grießler-&-andreas-johann-bauer,2026-05-08 20:00:00,2026-05-08 22:00:00,Die Brücke,Konzert,,
Mord vor Ort,mord-vor-ort-4,2026-05-27 19:00:00,2026-05-27 21:00:00,Die Brücke,Impro-Theater,"Sie haben die Nerven, wir bringen die Leiche
 
Ausgehend von der Leiche, dem Tatort und der Todesart, die vom Publikum definiert wird macht sich ein fiktives Ermittlungsteam auf die Suche nach dem Mörder/der Mörderin. Ein Format, das bereits in vielen Städten große Erfolge feierte, kommt nun endlich auch nach Graz!
 
Wenn Sie „Tatort“ lieben und von den „Landkrimis“ nicht genug bekommen, sind Sie bei uns richtig. Nehmen Sie die Zügel in die Hand und lenken sie immer wieder durch Einwürfe und Vermutungen das Geschehen auf der Bühne, oder lehnen Sie sich zurück und genießen Sie das Schauspiel…. bis wir alle am Ende den Täter oder die Täterin festnageln.
 
Es spielen:
Ulrike Brantner, Elke Körbitz, Lisa Feischl, Carola Gartlgruber, Michael Brantner, Lukas Werzer, Siegi Allmer
An der Tontechnik und spielend: Kathi Brantner",
